mY	FbR_Y	FbR_U	FbR_W	FbR_C	FbD_Y	FbD_U	FbD_W	FbD_C	NfR_Y	NfR_U	NfR_W	NfR_C	NfR_Ys	NfD_Y	NfD_U	NfD_W	NfD_C	NfD_Ys	CoRa(mY)
0.001	0.8214443934694242	0.030224784971126736	90.35888328163666	0.20069648864040318	0.8581900225336133	0.031735548550777454	89.90562140828328	0.20967109150429092	0.8214443934694242	0.030224784971126736	90.35888328163666	0.20069648864040318	0.8214443934694243	0.8625166131428955	0.030224784971126736	90.35888328163665	0.20069648864040318	0.8214443934694243	0.8969287361622976
0.0010232929922807535	0.838608680435667	0.030928594691970627	90.14715779722084	0.20488866153316895	0.8760303611959832	0.03247452635433543	89.68556411551295	0.21402823452914943	0.838608680435667	0.03092859469197063	90.14715779722084	0.20488866153316895	0.838608680435667	0.8805391144574505	0.03092859469197063	90.14715779722084	0.20488866153316895	0.838608680435667	0.8947820568258579
0.0010471285480508996	0.8560897334420428	0.0316487880756141	89.931528324684	0.20915813354379853	0.8941961049167141	0.03323070594901544	89.4614967342075	0.21846477746423096	0.8560897334420428	0.0316487880756141	89.931528324684	0.20915813354379853	0.8560897334420428	0.8988942201141448	0.0316487880756141	89.931528324684	0.20915813354379853	0.8560897334420428	0.8925960622348694
0.001071519305237606	0.8738916417081856	0.032385746267672225	89.71194463601785	0.21350589918882515	0.9126912926770023	0.03400448748807408	89.23336967712913	0.22298170213878796	0.8738916417081856	0.03238574626767223	89.71194463601785	0.21350589918882515	0.8738916417081856	0.9175862237935949	0.03238574626767223	89.71194463601785	0.21350589918882515	0.8738916417081856	0.8903702581363049
0.0010964781961431851	0.8920184728810826	0.03313985926924409	89.48835677905782	0.21793294752306597	0.931519933648862	0.03479628042069193	89.0011337352615	0.22757998289327336	0.8920184728810826	0.0331398592692441	89.48835677905782	0.217932947523066	0.8920184728810827	0.9366193965251368	0.0331398592692441	89.48835677905782	0.217932947523066	0.8920184728810827	0.888104153623654
0.001122018454301963	0.9104742692210751	0.033911526142123394	89.26071512489119	0.2224402612009389	0.950686003104126	0.03560650370733504	88.76474012865627	0.23226058557257726	0.910474269221075	0.0339115261421234	89.26071512489118	0.2224402612009389	0.9104742692210751	0.9559979826821289	0.0339115261421234	89.26071512489118	0.2224402612009389	0.9104742692210751	0.885797261629139
0.0011481536214968829	0.9292630436571655	0.034701155218739746	89.02897041688747	0.22702881550565854	0.9701934381929914	0.03643558604007855	88.52414055889909	0.23702446648719688	0.9292630436571655	0.034701155218739746	89.02897041688747	0.2270288155056585	0.9292630436571655	0.975726195840024	0.034701155218739746	89.02897041688747	0.2270288155056585	0.9292630436571655	0.8834490994321569
0.001174897554939529	0.9483887757115605	0.03550916431693752	88.79307382135207	0.23169957734629287	0.9900461335926453	0.03728396606800425	88.27928726318872	0.2418725713424697	0.9483887757115605	0.03550916431693751	88.79307382135208	0.23169957734629285	0.9483887757115604	0.9958082144971386	0.03550916431693751	88.79307382135208	0.23169957734629285	0.9483887757115604	0.8810591891839421
0.001202264434617413	0.9678554072937088	0.03633598095970347	88.55297697979994	0.2364535042227418	1.0102479370268795	0.03815209262778891	88.0301330700179	0.24680583413608947	0.9678554072937088	0.03633598095970347	88.55297697979994	0.2364535042227418	0.9678554072937088	1.0162481776583943	0.03633598095970347	88.55297697979994	0.2364535042227418	0.9678554072937088	0.878627058448381
0.001230268770812381	0.9876668383643369	0.03718204259995489	88.3086320628433	0.2412915431587582	1.0308026446578737	0.03904042497959999	87.77663145644155	0.25182517602419185	0.987666838364337	0.03718204259995488	88.30863206284332	0.24129154315875817	0.9876668383643368	1.037050180282554	0.03718204259995488	88.30863206284332	0.24129154315875817	0.9876668383643368	0.8761522407587764
0.0012589254117941675	1.007826922470352	0.03804779685050437	88.05999182568277	0.24621462960322266	1.0517139963517401	0.039949433048420954	87.51873660691302	0.2569315041563977	1.0078269224703518	0.03804779685050437	88.05999182568277	0.24621462960322266	1.007826922470352	1.0582182685938692	0.03804779685050437	88.05999182568277	0.24621462960322266	1.007826922470352	0.8736342761906707
0.0012882495516931337	1.0283394621517523	0.03893370171931815	87.80700966518772	0.2512236862999489	1.0729856708197156	0.04087959767092807	87.25640347366453	0.2621257104802746	1.0283394621517523	0.03893370171931814	87.80700966518772	0.2512236862999489	1.0283394621517523	1.0797564352593398	0.03893370171931814	87.80700966518772	0.2512236862999489	1.0283394621517523	0.8710727119501387
0.0013182567385564073	1.0492082042220918	0.039840225850189134	87.54963967854707	0.2563196221263959	1.0946212806373452	0.04183141084804614	86.98958783860367	0.2674086705157868	1.0492082042220918	0.039840225850189134	87.54963967854707	0.25631962212639586	1.0492082042220916	1.1016686144331964	0.039840225850189134	87.54963967854707	0.25631962212639586	1.0492082042220916	0.8684671029777542
0.0013489628825916534	1.0704368349243492	0.04076784876894706	87.28783672346759	0.26150333090173944	1.1166243671443263	0.042805376003310865	86.71824637669233	0.2727812421003869	1.0704368349243492	0.04076784876894707	87.28783672346758	0.2615033309017395	1.0704368349243494	1.1239586766705667	0.04076784876894707	87.28783672346758	0.2615033309017395	1.0704368349243494	0.8658170125676677
0.0013803842646028853	1.092028974964488	0.04171706113533204	87.02155647989166	0.2667756901648582	1.138998395228161	0.0438020082471706	86.44233672076993	0.27824426410551606	1.0920289749644883	0.04171706113533204	87.02155647989166	0.2667756901648582	1.092028974964488	1.1466304237127125	0.04171706113533204	87.02155647989166	0.2667756901648582	1.092028974964488	0.8631220130014708
