FB	rho	time	Y	U	W	C	Ys
1	125.0	0.0	1.2327444114742478	270.47512011289217	0.009862941487323163	0.1999160883880499	NaN
1	125.0	9.999999999999999e-5	1.2327444114742478	270.47512011289217	0.009862941487323163	0.1999160883880499	NaN
1	125.0	0.0010999999999999998	1.2327444114742478	270.47512011289217	0.009862941487323163	0.1999160883880499	NaN
1	125.0	0.011099999999999997	1.2327444114742478	270.47512011289217	0.009862941487323154	0.1999160883880499	NaN
1	125.0	0.11109999999999996	1.2327444114742474	270.47512011289217	0.009862941487323106	0.19991608838804995	NaN
1	125.0	1.1110999999999995	1.2327444114738932	270.4751201128922	0.009862941487348498	0.1999160883880232	NaN
1	125.0	5.274687328320093	1.2327419340569759	270.47512032464124	0.00986312270662157	0.19991589777278213	NaN
1	125.0	5.646313969144707	1.2327404781859894	270.475120449077	0.009863229201344328	0.1999157857564547	NaN
1	125.0	5.987917379497666	1.2327407640320385	270.47512042464524	0.009863208292124464	0.19991580774978765	NaN
1	125.0	6.30736069651846	1.2327421735771358	270.475120304169	0.009863105186048729	0.1999159162017702	NaN
1	125.0	6.625434531331998	1.232743073312287	270.47512022726715	0.009863039371799966	0.19991598542839661	NaN
1	125.0	6.953254909572235	1.2327434507136639	270.47512019501	0.009863011765471162	0.1999160144660755	NaN
1	125.0	7.633229221996692	1.2327446070676547	270.47512009617446	0.009862927179950541	0.19991610343723853	NaN
1	125.0	8.35223496833183	1.2327443712837964	270.47512011632733	0.009862944427186833	0.19991608529575736	NaN
1	125.0	9.270390238482852	1.2327444197389859	270.4751201121858	0.00986294088276711	0.19991608902395067	NaN
1	125.0	10.525924225393792	1.2327444098950242	270.4751201130272	0.009862941602839553	0.19991608826654372	NaN
1	125.0	12.386954508958178	1.2327444117268591	270.4751201128706	0.009862941468844129	0.19991608840748679	NaN
1	125.0	15.414980412441578	1.2327444114446011	270.47512011289473	0.00986294148949091	0.1999160883857696	NaN
1	125.0	20.946274815082873	1.232744411476406	270.475120112892	0.009862941487164443	0.1999160883882167	NaN
1	125.0	33.03694481385	1.2327444114741588	270.47512011289217	0.009862941487328879	0.19991608838804378	NaN
1	125.0	70.64624405009513	1.2327444114742392	270.4751201128921	0.00986294148732301	0.1999160883880499	NaN
1	125.0	255.21842719648686	1.232744411474239	270.4751201128919	0.009862941487323086	0.19991608838804986	NaN
1	125.0	500.0	1.2327444114742392	270.47512011289166	0.009862941487323093	0.19991608838804983	NaN
1	131.25	500.0	1.2327444114742392	270.47512011289166	0.009862941487323093	0.19991608838804983	NaN
1	131.25	500.0591544982738	1.2362851270388187	270.47513333240056	0.009862941403446384	0.1999160884712892	NaN
1	131.25	500.20092464228713	1.2439649804701136	270.47526573010794	0.00986293914037136	0.19991609067129756	NaN
1	131.25	500.3866060059438	1.2525093095055544	270.4756283659	0.00986292984438352	0.19991609940056557	NaN
1	131.25	500.61495064473917	1.2610577252470134	270.476319097959	0.009862908862641755	0.19991611812773444	NaN
1	131.25	500.88905328492734	1.2690460902825613	270.47743216129254	0.009862872250181016	0.1999161486508607	NaN
1	131.25	501.2084609177015	1.2759704516511343	270.4790268744106	0.009862817551517538	0.1999161904479396	NaN
1	131.25	501.5751432131779	1.2816160493547701	270.4811450038057	0.009862743132468595	0.19991624149407744	NaN
1	131.25	501.99038991787484	1.2859433539882081	270.4838011039966	0.009862648446874588	0.1999162984356849	NaN
1	131.25	502.45727759429593	1.2890741269111698	270.48700324893275	0.00986253330527866	0.19991635751955253	NaN
1	131.25	502.9795034709846	1.2912076544031048	270.4907545067454	0.00986239846653532	0.19991641430120596	NaN
1	131.25	503.55856279398387	1.2925662806864437	270.4950380143336	0.009862268992555469	0.199916439871104	NaN
1	131.25	504.06068686459406	1.2932387119955688	270.49881383546375	0.009862410571296693	0.19991618368186045	NaN
1	131.25	504.39964436907303	1.2935331280855606	270.50138190964867	0.009862281519829924	0.19991624211057987	NaN
1	131.25	504.7132189743433	1.2937277641775546	270.50376682382876	0.009862072971867263	0.19991638697171296	NaN
1	131.25	505.02960941048906	1.2938675893911993	270.506179580292	0.009861922622032959	0.19991646744007874	NaN
1	131.25	505.3586113127259	1.2939692619348675	270.508693302904	0.00986180816399617	0.19991650475020975	NaN
1	131.25	505.70097378885924	1.294041162303499	270.51131262996694	0.009861708985100094	0.19991652047007	NaN
1	131.25	506.0520047987682	1.2940894059751962	270.5140007126016	0.009861617117478657	0.19991652432268814	NaN
1	131.25	506.4054809954252	1.294119637220868	270.5167090495483	0.00986152840450753	0.19991652253760886	NaN
1	131.25	506.7570138348512	1.2941369176668311	270.5194033374922	0.00986143872127174	0.1999165208927404	NaN
1	131.25	507.10513187697904	1.2941452379957248	270.52207180993594	0.009861345313675518	0.19991652293752205	NaN
1	131.25	507.4504969788814	1.2941474068361063	270.52471921068906	0.009861248344394192	0.19991652853028538	NaN
1	131.25	507.79457446780526	1.2941452888681735	270.52735655175064	0.009861149719711994	0.19991653542545493	NaN
1	131.25	508.13863170907996	1.2941401245832425	270.5299933943414	0.009861051158656825	0.19991654159080036	NaN
1	131.25	508.4833240135456	1.2941327721943447	270.53263464982103	0.009860953451970291	0.19991654611590348	NaN
1	131.25	508.8287307941291	1.294123850583013	270.5352808449768	0.009860856646319895	0.1999165490183943	NaN
1	131.25	509.1746014554841	1.2941138153640195	270.53793000050945	0.00986076042633606	0.19991655077809456	NaN
1	131.25	509.5206159445251	1.2941030001677245	270.54057962301465	0.00986066441195382	0.19991655195246683	NaN
