FB	rho	time	Y	U	W	C	Ys
1	3.9	0.0	0.9191615080017921	74.51174278971544	0.03580028859544955	0.19990571759752285	NaN
1	3.9	9.999999999999999e-5	0.9191615080017921	74.51174278971544	0.03580028859544955	0.19990571759752285	NaN
1	3.9	0.0010999999999999998	0.9191615080017921	74.51174278971544	0.035800288595449536	0.19990571759752288	NaN
1	3.9	0.011099999999999997	0.9191615080017921	74.51174278971544	0.0358002885954494	0.199905717597523	NaN
1	3.9	0.11109999999999996	0.9191615080017921	74.51174278971544	0.035800288595448204	0.19990571759752415	NaN
1	3.9	1.1110999999999995	0.9191615080017905	74.51174278971544	0.03580028859544554	0.19990571759752512	NaN
1	3.9	9.848163321165888	0.9191615081166379	74.51174278996122	0.03580028884609498	0.19990571729229725	NaN
1	3.9	14.926617993409835	0.9191624838578243	74.51174480939432	0.03580235190221197	0.1999032049150485	NaN
1	3.9	16.173062037724826	0.91916244614376	74.51174473126768	0.035802272091783646	0.19990330210677187	NaN
1	3.9	17.277074390197377	0.9191619412046385	74.51174368625865	0.03580120450721863	0.19990460220492876	NaN
1	3.9	18.385092354394306	0.9191617122091882	74.51174321233819	0.035800720348576114	0.19990519181066824	NaN
1	3.9	19.54881734067007	0.9191616364410735	74.51174305553036	0.03580056015336648	0.19990538689562748	NaN
1	3.9	20.777417122494352	0.919161620785492	74.51174302312886	0.03580052705207652	0.1999054272063037	NaN
1	3.9	22.05288984964999	0.9191616334382721	74.51174304931342	0.03580055380246776	0.19990539462990808	NaN
1	3.9	23.34522914503456	0.9191616596966534	74.51174310365586	0.035800609319010024	0.19990532702222996	NaN
1	3.9	24.630636322367906	0.91916168526043	74.51174315656104	0.03580066336720551	0.19990526120267246	NaN
1	3.9	25.899611436152643	0.9191616988503623	74.5117431846859	0.035800692099713344	0.19990522621239606	NaN
1	3.9	27.15417079799712	0.9191616991377927	74.51174318528066	0.03580069270735717	0.1999052254724081	NaN
1	3.9	28.40128656210905	0.9191616923700767	74.5117431712745	0.03580067839863433	0.19990524289748451	NaN
1	3.9	29.647498289012166	0.9191616850311977	74.51174315608631	0.03580066288233667	0.19990526179314058	NaN
1	3.9	30.896515385704625	0.919161680410956	74.51174314652447	0.03580065311394334	0.19990527368903435	NaN
1	3.9	33.401707767259516	0.9191614727988889	74.51174271686054	0.035800214167573285	0.19990580823531376	NaN
1	3.9	36.01543479945721	0.9191615152370445	74.51174280468828	0.03580030389279432	0.19990569896849875	NaN
1	3.9	39.32233036934662	0.919161506512698	74.51174278663271	0.03580028544715633	0.199905721431489	NaN
1	3.9	43.80364087777135	0.9191615082878758	74.51174279030651	0.03580028920033906	0.1999057168608865	NaN
1	3.9	50.38576469395348	0.9191615079553721	74.51174278961837	0.035800288497338385	0.19990571771699653	NaN
1	3.9	60.98870230244259	0.9191615080073565	74.51174278972593	0.035800288607247585	0.19990571758314973	NaN
1	3.9	80.13100312970134	0.9191615080013494	74.51174278971345	0.035800288594546585	0.199905717598617	NaN
1	3.9	120.79643379217532	0.919161508001791	74.51174278971429	0.035800288595480276	0.19990571759747996	NaN
1	3.9	243.02162155802347	0.9191615080017748	74.51174278971402	0.035800288595444714	0.1999057175975235	NaN
1	3.9	500.0	0.9191615080017762	74.51174278971358	0.03580028859544541	0.1999057175975228	NaN
1	4.095	500.0	0.9191615080017762	74.51174278971358	0.03580028859544541	0.1999057175975228	NaN
1	4.095	500.0608608660716	0.9218754048479546	74.51175321724591	0.03580028832178119	0.19990571786909378	NaN
1	4.095	500.20847757024507	0.9278107111411076	74.51185938964778	0.035800278985315195	0.1999057269528635	NaN
1	4.095	500.40191827974667	0.9343732378674084	74.51215036786664	0.03580023043747367	0.199905772745156	NaN
1	4.095	500.63842757404973	0.9408496440459134	74.5126994208592	0.03580009677860212	0.19990589345444906	NaN
1	4.095	500.9224485561504	0.9468508487239947	74.51358062103799	0.03579982356192383	0.199906126193074	NaN
1	4.095	501.25308953757815	0.951994485851953	74.51483654827227	0.035799367044811806	0.19990648643552206	NaN
1	4.095	501.6329686345355	0.956142767736899	74.51649936413145	0.03579869610949867	0.19990696646656977	NaN
1	4.095	502.0634253656346	0.9592822630066115	74.51857833133009	0.03579779837108021	0.1999075343226836	NaN
1	4.095	502.5481417277282	0.9615232281122355	74.52108067809003	0.03579666998579307	0.19990814723036024	NaN
1	4.095	503.09155564648523	0.9630283415035048	74.52401137807122	0.035795312246807515	0.1999087597194299	NaN
1	4.095	503.70051219666027	0.9639775414961603	74.52738700271637	0.035793722601877326	0.19990933304531636	NaN
1	4.095	504.3841338403547	0.9645356666143463	74.53123899262495	0.0357918913221587	0.1999098386863116	NaN
1	4.095	505.1551232765115	0.9648380309330399	74.53562289697335	0.035789796280139695	0.1999102601074213	NaN
1	4.095	506.030732326554	0.9649852655340018	74.54062451581107	0.035787399728207756	0.19991059170593242	NaN
1	4.095	507.03487176442343	0.9650457900686783	74.54637159408416	0.03578464275274037	0.19991083692968925	NaN
1	4.095	508.2011484274816	0.9650618249380789	74.55305031833996	0.03578143758264019	0.19991100571306808	NaN
1	4.095	509.57820275147577	0.9650565988363864	74.56093471448914	0.035777653817830234	0.19991111185053975	NaN
1	4.095	511.2387744850717	0.9650409877309666	74.57043720623548	0.03577309521666852	0.19991116967217978	NaN
1	4.095	513.2976858817032	0.9650186343128722	74.58220985995649	0.03576747908919201	0.199911158339157	NaN
1	4.095	515.6268954242247	0.9649935510906338	74.59551689013752	0.035762914151668684	0.19990895474587547	NaN
